"cell_5km_scale","number_checklists","total_SR","total_duration","avg_duration","no_months","X6","X8","X7","X9","X11","X5","X10","X2","X3","X4","X1","X12","square"
12603013,419,404,1562726,135.936499652053,12,20,11,30,19,9,79,24,44,93,53,14,23,"r2c2ABB"
11159408,1430,403,5169304,138.844081544949,12,37,86,86,75,87,151,113,203,175,137,152,128,"r2c2AA"
11246029,1176,403,2766600,107.809212064531,12,68,65,85,63,124,95,141,125,134,72,82,122,"r2c2AA"
12242168,1265,403,1930846,99.8420807694297,12,47,33,44,57,111,273,96,91,104,70,160,179,"r2c2ABB"
12761858,289,403,1524266,148.636372501219,12,9,20,8,5,50,25,14,37,23,17,55,26,"r2c2ABB"
13086478,278,403,1219667,165.96366852633,10,0,6,29,9,9,0,16,17,1,4,162,25,"r3c2"
6713399,10433,402,46570641,136.14399726371,12,511,677,706,825,898,887,895,903,1085,1094,1068,884,"r2c1"
9954115,6394,402,8884507,66.9977678739754,12,378,422,416,481,340,459,726,502,623,771,829,447,"r2c2AA"
12032831,745,402,3825529,153.598691078455,12,43,78,93,44,51,80,81,38,67,50,64,56,"r2c2ABA"
12487575,1259,402,3429441,119.893756118025,12,73,70,77,105,116,132,171,78,185,77,62,113,"r2c2ABB"
7805829,5204,402,24903090,130.198619752183,12,268,299,368,360,314,412,424,296,1215,735,291,222,"r2c3"
8395157,8062,401,6572756,56.4917274750965,12,53,103,39,264,1714,494,585,356,637,3024,441,352,"r2c1"
14003035,1031,401,1753800,124.506602300156,12,87,139,96,55,139,64,123,93,55,42,84,54,"r3c2"
15331105,2446,401,3166338,93.9398920073577,12,190,281,250,419,240,238,459,80,49,100,90,50,"r3c2"
8380702,13469,400,32753717,120.337557222741,12,182,165,140,300,2614,472,553,1709,1780,1641,1980,1933,"r2c1"
8395139,10262,400,49598270,156.510298168829,12,155,80,70,130,1301,304,298,1744,1644,1141,2048,1347,"r2c1"
11491522,2112,400,5370382,118.155020681158,12,56,92,189,254,247,154,148,212,146,167,242,205,"r2c2ABA"
12162742,844,400,1980382,120.117789773761,12,59,64,64,43,87,75,81,69,95,48,69,90,"r2c2ABA"
11469763,1278,399,2457200,92.3933070125964,12,46,65,75,70,116,115,152,130,144,87,128,150,"r2c2AA"
12963760,1020,399,7997425,198.402962117641,12,57,98,80,97,133,35,92,116,58,67,80,107,"r2c2ABA"
12992632,2531,399,7253751,137.96696211199,12,125,224,285,144,323,132,204,362,201,102,199,230,"r3c2"
6431835,14917,398,21491055,78.3281639525899,12,1072,1392,1086,1515,1298,1363,1422,906,923,1304,1334,1302,"r2c1"
7861173,10386,398,26032792,101.422379099023,12,169,332,203,763,513,957,768,382,1345,4232,396,326,"r2c1"
5761314,27489,398,80974866,118.493965907046,12,1644,2395,1677,3314,1977,5655,2526,999,1680,3146,1217,1259,"r2c2AA"
11181079,1166,398,4876315,142.394948167616,12,65,106,42,105,113,99,244,49,46,98,91,108,"r2c2AA"
13168010,831,398,2701011,132.253390784899,12,124,58,221,114,71,26,40,28,31,6,23,89,"r3c3"
11224382,1318,397,3199571,101.425569010334,12,59,90,47,54,138,102,141,119,108,147,206,107,"r2c2AA"
11440892,1324,397,4818809,109.08699687599,12,122,60,100,16,47,109,123,169,193,91,175,119,"r2c2AA"
10957568,3280,397,7133972,96.8671093187774,12,125,192,196,230,344,141,457,456,328,108,328,375,"r2c2ABB"
16955490,1325,397,5497613,141.054855676716,12,95,103,259,163,133,49,346,24,9,23,23,98,"r3c2"
6359980,6338,396,10096859,73.781560563545,12,254,264,211,327,676,650,530,558,589,706,1121,452,"r2c1"
7911682,6448,396,10352972,90.9903410938557,12,70,252,102,443,235,651,680,155,650,2575,292,343,"r2c1"
9838658,4482,396,11261369,90.0203760251962,12,167,122,102,139,334,348,217,690,949,286,627,501,"r2c2AA"
15316671,1314,396,1275107,80.1802804502295,12,87,177,151,268,161,70,269,15,14,47,27,28,"r3c2"
12097789,1519,395,8833406,152.176787775423,12,66,49,134,79,188,204,164,109,125,96,135,170,"r2c2ABA"
11238828,162,394,1125898,157.66671334547,12,15,6,8,2,28,6,46,7,14,9,17,4,"r2c2AA"
11318192,1511,394,2480254,132.421462893753,12,85,96,95,78,112,70,74,197,195,133,194,182,"r2c2AA"
12090575,1088,394,2835121,135.710162270834,12,47,62,67,55,314,128,71,75,79,69,56,65,"r2c2ABA"
12191617,698,394,3033440,142.756835615794,12,34,17,47,37,18,82,114,81,69,68,56,75,"r2c2ABA"
10979202,679,394,1665384,125.386538171962,12,21,24,51,28,64,33,21,109,101,29,127,71,"r2c2ABB"
9004699,5098,394,2661438,43.1505236875385,12,79,73,12,166,91,137,89,1354,1322,339,896,540,"r2c3"
8673463,6407,394,5886874,36.8397028730201,12,276,403,322,603,437,799,1029,345,398,700,490,605,"r2c4"
15230112,500,394,689223,93.6953507340946,12,60,59,48,35,49,72,37,21,22,45,29,23,"r3c2"
6626683,18084,393,20845095,68.3622807218919,12,720,1431,748,3634,1341,1005,2645,1267,1189,927,1771,1406,"r2c1"
8283212,610,393,902518,67.432606096832,12,55,10,28,21,52,31,40,66,60,22,105,120,"r2c4"
14003034,1293,393,2731104,138.599543263131,12,149,118,193,72,174,56,213,133,37,41,67,40,"r3c2"
8092052,3472,392,8967101,101.866462943609,12,90,174,256,578,361,149,362,290,260,536,251,165,"r2c1"
11310984,556,392,1265985,111.481595632265,12,18,32,34,35,40,36,76,47,74,53,60,51,"r2c2AA"
11426484,675,392,835109,79.0074739829707,12,34,41,47,27,67,48,83,27,147,51,71,32,"r2c2AA"
12227730,453,392,824400,98.2598331346841,12,3,1,5,32,35,66,20,41,33,27,109,81,"r2c2ABB"
13757745,171,392,480680,143.14472900536,11,14,14,28,13,11,16,12,8,10,6,39,0,"r3c2"
7168087,11289,391,64633515,141.09872225606,12,396,594,349,705,1166,671,1087,1399,1423,881,1477,1141,"r2c1"
11303767,1565,391,4400337,107.356714160242,12,30,60,44,34,92,64,92,318,336,88,309,98,"r2c2AA"
12985414,2482,391,8123074,163.199140113312,12,165,203,298,183,412,93,197,308,126,135,201,161,"r2c2ABA"
15230114,278,391,604801,113.556327450244,12,61,9,55,10,9,26,38,23,24,8,3,12,"r3c2"
6987533,11094,390,22524831,83.2452436212045,12,624,763,741,1023,969,768,1074,986,812,823,1525,986,"r2c1"
11310975,2028,390,1739024,84.2795386255694,12,142,98,127,76,180,104,80,257,296,172,263,233,"r2c2AA"
7662266,654,390,1895061,100.416543026706,12,9,6,7,18,121,3,41,171,27,8,160,83,"r2c3"
6071320,10719,389,22874047,99.1562029936667,12,1150,591,614,714,752,1629,857,555,974,1416,749,718,"r2c1"
7269017,14055,389,24854351,76.0814096932481,12,678,1012,928,1318,1415,893,1360,1771,1176,929,1429,1146,"r2c1"
12300018,434,389,1272706,129.722352461523,11,1,15,0,4,78,32,17,81,34,24,72,76,"r2c2ABB"
7297885,12443,388,17800216,72.9146499320018,12,590,929,480,1495,970,826,966,1804,1059,955,1548,821,"r2c1"
11910175,1312,388,4813947,165.399312832847,12,93,94,94,96,197,78,123,67,83,90,121,176,"r2c2ABB"
12249384,1745,388,1711242,80.1443424503559,12,135,104,127,126,148,241,205,66,99,256,107,131,"r2c2ABB"
10343844,1477,387,3687300,107.188953488372,12,135,30,115,92,67,163,148,161,203,106,171,86,"r2c2AA"
11491414,1685,387,2447177,82.3300026914278,12,58,116,310,27,94,26,59,188,409,73,182,143,"r2c2AA"
12300017,496,387,797635,113.043509070295,11,0,29,10,1,63,45,8,107,33,20,58,122,"r2c2ABB"
