"","term","value","urban2","estimate","p.value","s.value","conf.low","conf.high"
"1733","urban2","Suburban","Suburban",105.63472077848,0,Inf,103.23897747481,108.057943725627
"1734","urban2","Urban","Urban",92.2406924845203,0,Inf,89.5361352809134,94.9854915308801
"1735","urban2","Natural","Natural",128.295155418064,0,Inf,126.900390977784,129.697542963056
"1736","urban2","Suburban","Suburban",106.05363606997,0,Inf,103.613643544093,108.522024848825
"1737","urban2","Urban","Urban",91.8214977600737,0,Inf,89.1224974311076,94.5607592096563
"1738","urban2","Natural","Natural",128.406916253745,0,Inf,127.015330572113,129.806083597132
"1739","urban2","Suburban","Suburban",106.734434865012,0,Inf,104.293940358601,109.203154071479
"1740","urban2","Urban","Urban",92.9384541113621,0,Inf,90.1814744339187,95.7369441136455
"1741","urban2","Natural","Natural",128.618382975898,0,Inf,127.218631777474,130.025792636419
"1742","urban2","Suburban","Suburban",106.140211204042,0,Inf,103.745947910309,108.561787795842
"1743","urban2","Urban","Urban",92.7709464819209,0,Inf,90.0457121803,95.5368079052377
"1744","urban2","Natural","Natural",128.948994147917,0,Inf,127.54846716145,130.357168346366
"1745","urban2","Suburban","Suburban",105.295361954858,0,Inf,102.875537657097,107.743315772453
"1746","urban2","Urban","Urban",92.4364825480266,0,Inf,89.7132678384911,95.2004127280794
"1747","urban2","Natural","Natural",128.397508041806,0,Inf,127.008933602198,129.793631833772
"1748","urban2","Suburban","Suburban",106.442704861577,0,Inf,103.993880336739,108.920027019451
"1749","urban2","Urban","Urban",91.7802128541261,0,Inf,89.0462331052514,94.5555309838058
"1750","urban2","Natural","Natural",128.999903238711,0,Inf,127.598062197929,130.409402847492
"1751","urban2","Suburban","Suburban",106.774848893591,0,Inf,104.338420314024,109.239396889435
"1752","urban2","Urban","Urban",92.5034372668958,0,Inf,89.7514105246743,95.297021657878
"1753","urban2","Natural","Natural",128.60885965552,0,Inf,127.222498311557,130.002733807537
"1754","urban2","Suburban","Suburban",105.67918551383,0,Inf,103.2728050697,108.113279782747
"1755","urban2","Urban","Urban",92.4725777106054,0,Inf,89.7020913794694,95.2851996383174
"1756","urban2","Natural","Natural",128.55458229497,0,Inf,127.158528887731,129.958257445301
"1757","urban2","Suburban","Suburban",107.151169086925,0,Inf,104.728820451399,109.601212478688
"1758","urban2","Urban","Urban",93.2936629273814,0,Inf,90.4967946895949,96.1330955342453
"1759","urban2","Natural","Natural",128.611920446391,0,Inf,127.213220181205,130.018268032897
"1760","urban2","Suburban","Suburban",106.732630707425,0,Inf,104.285731998987,109.207903792809
"1761","urban2","Urban","Urban",93.0703741158888,0,Inf,90.367987715578,95.8125738271046
"1762","urban2","Natural","Natural",129.062491630625,0,Inf,127.667297756818,130.465267718878
"1763","urban2","Suburban","Suburban",106.136380675223,0,Inf,103.682562725298,108.618896836715
"1764","urban2","Urban","Urban",93.123429637436,0,Inf,90.4003710880355,95.8868941505024
"1765","urban2","Natural","Natural",128.884731966362,0,Inf,127.486766015262,130.290320930719
"1766","urban2","Suburban","Suburban",106.036150563084,0,Inf,103.611714662203,108.488624364386
"1767","urban2","Urban","Urban",93.3167245054042,0,Inf,90.5422571062278,96.1330615350338
"1768","urban2","Natural","Natural",128.060828972529,0,Inf,126.66330301175,129.466022418495
"1769","urban2","Suburban","Suburban",104.740672278428,0,Inf,102.34736253509,107.16164234896
"1770","urban2","Urban","Urban",90.6540984295918,0,Inf,87.9577394608472,93.3911644759901
"1771","urban2","Natural","Natural",129.073739686834,0,Inf,127.668784950653,130.48638271926
"1772","urban2","Suburban","Suburban",106.450637004565,0,Inf,104.056718848034,108.871780002788
"1773","urban2","Urban","Urban",92.2736287653593,0,Inf,89.5611719650064,95.0265499388993
"1774","urban2","Natural","Natural",128.880473286596,0,Inf,127.488510224368,130.279994109596
"1775","urban2","Suburban","Suburban",106.74668006342,0,Inf,104.321742416897,109.19947842248
"1776","urban2","Urban","Urban",92.9930100520081,0,Inf,90.1800908449624,95.8491287298014
"1777","urban2","Natural","Natural",129.28649362865,0,Inf,127.886542086222,130.694066027733
"1778","urban2","Suburban","Suburban",106.476849692446,0,Inf,104.066269331399,108.915030519139
"1779","urban2","Urban","Urban",92.7697578479861,0,Inf,90.0318412641762,95.5486839618094
"1780","urban2","Natural","Natural",128.834450018614,0,Inf,127.43262581293,130.24394249693
"1781","urban2","Suburban","Suburban",105.461590914837,0,Inf,103.061463493706,107.889345029153
"1782","urban2","Urban","Urban",92.5203183661273,0,Inf,89.8148020314907,95.2659817748323
"1783","urban2","Natural","Natural",128.663766454341,0,Inf,127.270220400531,130.064900343678
"1784","urban2","Suburban","Suburban",106.617561276379,0,Inf,104.180670475076,109.08262420771
"1785","urban2","Urban","Urban",90.9012084161165,0,Inf,88.1941323859982,93.6492049929269
"1786","urban2","Natural","Natural",129.071249831091,0,Inf,127.669797313894,130.480352405849
